timestamp,iso_time,cpu_percent,ram_percent,gpu_percent
1762625082.56287,2025-11-08T18:04:42.562870,48.6,54.2,0.0
1762625083.9008062,2025-11-08T18:04:43.900806,58.7,54.2,0.0
1762625085.3084674,2025-11-08T18:04:45.308467,71.3,54.3,0.0
1762625086.5698094,2025-11-08T18:04:46.569809,23.0,54.4,0.0
1762625087.8082268,2025-11-08T18:04:47.808227,17.4,54.4,0.0
1762625089.0666237,2025-11-08T18:04:49.066624,25.2,54.3,0.0
1762625090.3169854,2025-11-08T18:04:50.316985,18.0,54.2,0.0
1762625091.5874755,2025-11-08T18:04:51.587476,27.9,54.2,0.0
1762625092.885758,2025-11-08T18:04:52.885758,46.5,54.1,0.0
1762625094.5203211,2025-11-08T18:04:54.520321,33.4,49.9,0.0
1762625095.790543,2025-11-08T18:04:55.790543,15.0,49.9,0.0
1762625097.037826,2025-11-08T18:04:57.037826,11.9,49.9,0.0
1762625098.2943726,2025-11-08T18:04:58.294373,12.8,49.9,0.0
1762625099.5253417,2025-11-08T18:04:59.525342,13.0,49.6,0.0
1762625100.79745,2025-11-08T18:05:00.797450,31.4,49.6,0.0
1762625102.08806,2025-11-08T18:05:02.088060,26.4,49.6,0.0
1762625103.5699708,2025-11-08T18:05:03.569971,50.4,50.0,0.0
1762625105.0221143,2025-11-08T18:05:05.022114,35.5,50.0,0.0
1762625106.5523012,2025-11-08T18:05:06.552301,51.3,50.0,0.0
1762625107.9356608,2025-11-08T18:05:07.935661,36.8,49.9,0.0
1762625109.2814786,2025-11-08T18:05:09.281479,49.4,50.3,0.0
1762625110.5952518,2025-11-08T18:05:10.595252,24.6,50.3,0.0
1762625111.8960018,2025-11-08T18:05:11.896002,46.3,50.6,0.0
1762625113.2401135,2025-11-08T18:05:13.240113,47.1,50.9,0.0
1762625114.51581,2025-11-08T18:05:14.515810,28.7,50.9,0.0
1762625115.8233738,2025-11-08T18:05:15.823374,25.2,50.9,0.0
1762625117.083389,2025-11-08T18:05:17.083389,22.2,50.8,0.0
1762625118.4547994,2025-11-08T18:05:18.454799,30.9,50.8,0.0
1762625119.9341612,2025-11-08T18:05:19.934161,51.8,50.6,0.0
1762625121.2698567,2025-11-08T18:05:21.269857,61.7,50.0,0.0
1762625122.7631824,2025-11-08T18:05:22.763182,64.5,50.0,0.0
1762625124.071028,2025-11-08T18:05:24.071028,27.7,49.9,0.0
1762625125.405903,2025-11-08T18:05:25.405903,53.8,49.8,0.0
1762625126.8742943,2025-11-08T18:05:26.874294,39.3,49.9,0.0
1762625128.1642683,2025-11-08T18:05:28.164268,36.4,49.7,0.0
1762625129.4248195,2025-11-08T18:05:29.424819,57.5,50.2,0.0
1762625130.733043,2025-11-08T18:05:30.733043,37.0,50.3,0.0
1762625132.2374794,2025-11-08T18:05:32.237479,50.9,50.5,0.0
1762625134.0480082,2025-11-08T18:05:34.048008,47.4,50.5,0.0
1762625135.3379855,2025-11-08T18:05:35.337986,27.6,50.4,0.0
